file,backend,algorithm,dtype,size,tag,real_time_ns,cpu_time_ns,gbps,repetitions
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,67108864,,178694076.1428572,2798710.321428136,9012221441.2785,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,134217728,,359430146.0,5256741.866665494,8959077864.815414,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,268435456,,751127493.25,10197445.750002032,8479750881.792053,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,8,,159490.75,70762.24999996717,1317718.261186867,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,16,,97497.07806038443,61721.37326166514,4039388.0241682725,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,32,,87919.95355817012,56879.448159567066,9005955.914664164,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,64,,88783.51187146432,57480.21748776299,17543975.75191897,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,128,,89258.52940321679,58079.29727765953,34526200.60020387,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,256,,90138.3370835768,58833.2079875316,68336579.6054816,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,512,,91076.09096567068,58852.66534001543,135033743.27075243,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,1024,,93901.93178493077,60108.049042362036,261935838.69004017,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,2048,,96466.70527813956,60286.69344605255,508687251.9175879,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,4096,,105704.2279682681,62781.9308594629,929093486.1855228,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,8192,,120816.84666695405,66460.6973922803,1626359819.5083246,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,16384,,149499.76473113708,71011.2649726315,2621372944.056246,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,32768,,204818.4731005712,83751.22763138624,3831900630.894141,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,65536,,314078.7690168023,108142.43012034599,5004259115.03647,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,131072,,551389.6417291745,175770.98543229312,5704275605.0981,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,262144,,871105.6561528895,225847.3419826025,7221492149.0711,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,524288,,1494005.1849571737,323033.309957177,8418810059.662677,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,1048576,,2729375.7710000016,501145.1435000041,9218850585.57537,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,2097152,,5770802.340340909,926111.6875000054,8516794152.013006,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,4194304,,11150080.223913047,1680746.5239130715,9008231461.652416,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,8388608,,23811692.61057692,3186175.379807484,8452119673.293983,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,16777216,,48925897.2037037,5949676.499999368,8152763649.460894,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,33554432,,113217025.9090909,11661954.954545643,7102044098.459272,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,67108864,,229763437.4,23108889.650001176,6930052809.178575,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,134217728,,473438266.3333334,45989778.41667088,6495955878.715742,16
foreach_cpu_its100.json,Clang-SYCL_CPU,for_each,double,268435456,,885947369.875,91661312.42499915,7241309837.237099,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,8,,329349.75,242333.0000000945,650278.6886642698,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,16,,243136.15823578573,211172.59045777604,1638403.8032882628,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,32,,244667.8512863142,213714.47488624422,3236559.3155500004,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,64,,250288.54907590122,218963.21595191042,6227550.956244469,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,128,,256985.21319610428,225391.17437051944,12044512.377433881,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,256,,262367.2152620668,230718.48628393636,23498211.971176904,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,512,,268472.5621409425,235695.68542703838,45851637.383249894,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,1024,,281497.5638855423,246780.23163654696,87349888.20214343,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,2048,,284696.5759390865,247588.30883248785,172699734.37211823,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,4096,,291966.50974770676,249209.84225396183,336709474.4829607,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,8192,,308133.99318830995,253114.7801032727,637832404.3720185,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,16384,,340898.57726277335,261427.12602189672,1152586268.403839,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,32768,,404727.7898728695,283078.1920687633,1942809741.7145863,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,65536,,566272.317842741,356732.9897983854,2776945616.869315,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,131072,,1039574.2630970145,654882.078134327,3017782241.3640327,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,262144,,1851635.7923784484,1172949.7316031472,3397599330.9939785,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,524288,,3395185.1426328514,2139689.979710142,3695315008.8861623,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,1048576,,6255924.797991071,3864276.4051339505,4015938531.112238,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,2097152,,11962630.576576576,7386505.871621622,4203624587.9672213,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,4194304,,24321192.65789473,14547703.60350877,4072473095.4950733,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,8388608,,61913199.156521745,28827909.75000011,3249925414.212187,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,16777216,,122542565.19999999,57239619.255000636,3283972973.3250265,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,33554432,,236510566.44999996,114011961.3399989,3390366914.9670143,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,67108864,,458135491.00000006,227679496.96666488,3456919805.0348253,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,134217728,,878109504.875,455116580.1250007,3653488660.498558,16
foreach_cpu_its1000.json,Clang-SYCL_CPU,for_each,double,268435456,,1736218049.0,909767927.7499964,3707941997.723175,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,8,,173149.25,65186.00000010588,1206283.6712600866,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,16,,84295.99775988373,38121.803738572395,4829006.14177775,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,32,,102333.13743099046,39913.138535149075,7727729.0255333,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,64,,137761.63130225294,40419.206850594914,11321107.241607511,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,128,,208607.70147673038,40099.05856951076,14838947.305130057,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,256,,349712.88701298693,39280.44615384625,17635289.935397875,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,512,,498281.9934156378,44790.749176954894,24581040.355196714,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,1024,,528146.0036715614,55513.85246996006,44943611.956725225,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,2048,,474015.00739041774,41000.53549099536,103596364.77264135,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,4096,,485186.8667927132,42862.080182192934,202480329.74919292,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,8192,,486826.1903781347,48134.16136278526,401844561.8754717,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,16384,,522537.6229143492,46665.36794586586,751544732.5892165,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,32768,,962143.003611898,49891.59815864083,816317230.212328,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,65536,,1838153.7082671947,52152.35747354479,853651750.0070916,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,131072,,3606378.1249999977,60135.97102564151,870161893.3032147,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,262144,,7135398.214467005,71946.39593909748,881174287.0566049,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,524288,,13924930.93814433,72582.08041238347,902978143.1031446,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,1048576,,28042494.220000006,77346.37699999071,896729812.2935152,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,2097152,,56696845.370000005,79007.4400000762,887461267.2011858,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,4194304,,116662911.55000001,81451.60000001539,861035734.6034317,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,8388608,,233674555.35000002,97556.10000077297,860606953.4046724,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,16777216,,463961819.1166667,122982.30000039231,866265741.7618294,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,33554432,,950416251.75,232692.3500010736,847036691.1391323,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,67108864,,1986674321.0500002,196251.99999850907,807819416.6678404,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,134217728,,3905333701.25,250757.00000165572,817302802.3395231,16
foreach_cpu_its1000_fixed.json,Clang-SYCL_CPU,for_each,double,268435456,,7700013085.25,287360.5000033308,825308202.9149503,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,8,,128267.49999999999,56899.000000110165,1648510.362856315,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,16,,58550.826101449915,35156.424329129426,6883804.460107204,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,32,,54981.251192451295,35833.3709456657,14275003.487495389,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,64,,77335.8671362287,43750.71717384948,20134578.362734526,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,128,,88378.65446953295,44320.74537581195,34835496.28158988,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,256,,101378.93688112871,44315.238802519314,60828012.7632741,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,512,,273045.12097735377,47876.38951132361,45067900.63606362,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,1024,,216057.00150748665,51561.630513962125,100772500.9210858,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,2048,,139826.79003691746,42051.9698061837,349346391.7027692,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,4096,,148150.66999842622,44283.49429403441,656574789.4707512,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,8192,,155388.1842015275,44491.50871993659,1258502059.7992034,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,16384,,192175.84631001568,44805.57312295221,2038564803.9056907,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,32768,,268307.14695591276,41998.72212502933,2915194707.879021,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,65536,,544178.8437416109,58206.17013422806,2758007281.0944815,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,131072,,988105.7523148167,62654.18283730105,3086733711.199115,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,262144,,1563432.787820512,70019.7064102526,3996850384.317076,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,524288,,2982697.9299363033,71768.55700636655,4209028687.4875135,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,1048576,,5752431.588775508,70288.47551018608,4371127119.794359,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,2097152,,11325623.780737702,73225.6967212873,4424720199.631756,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,4194304,,24710624.638297867,76362.22340429509,4055462388.9541245,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,8388608,,51342808.73076923,85862.69230766912,3916956282.790922,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,16777216,,104562240.54545456,93739.11818157538,3847197292.6200614,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,33554432,,211108413.625,108345.08333286882,3810902432.9762907,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,67108864,,492168357.6666667,177782.2333340377,3259165456.0422316,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,134217728,,965166059.75,246792.59999658144,3276852606.27888,16
foreach_cpu_its100_fixed.json,Clang-SYCL_CPU,for_each,double,268435456,,1623877370.0,266502.7499944017,3927635868.948608,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,8,,136025.0,63477.75000004053,1499809.7384773577,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,16,,57280.805927904,34018.29580774364,7075355.196925594,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,32,,49595.51928574362,32241.845336300914,15794754.6067437,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,64,,48782.67005309828,31773.117661542492,31871107.03579592,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,128,,50508.69060866795,32417.618560457868,60104749.49364983,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,256,,49893.07865457612,32586.731092735143,122476787.43679272,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,512,,164449.1186621224,45384.05281210097,74139239.56534517,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,1024,,107185.10923059136,35483.953009473495,196385109.89780587,16
foreach_cpu_its10_fixed.json,Clang-SYCL_CPU,for_each,double,2048,,102373.21003368308,32942.70362649688,448351619.0775254,16
